"STAID","SOUID","DATE","HU","Q_HU"
79,5535,20170801,-9999,9
79,5535,20170901,-9999,9
79,5535,20171001,-9999,9
80,5536,20170101,-9999,9
80,5536,20170201,-9999,9
80,5536,20170301,-9999,9
80,5536,20170401,-9999,9
80,5536,20170501,-9999,9
80,5536,20170601,-9999,9
80,5536,20170701,-9999,9
80,5536,20170801,-9999,9
80,5536,20170901,-9999,9
80,5536,20171001,-9999,9
81,5537,20170101,-9999,9
81,5537,20170201,-9999,9
81,5537,20170301,-9999,9
81,5537,20170401,-9999,9
81,5537,20170501,-9999,9
81,5537,20170601,-9999,9
81,5537,20170701,-9999,9
81,5537,20170801,-9999,9
81,5537,20170901,-9999,9
81,5537,20171001,-9999,9
82,5538,20170101,-9999,9
82,5538,20170201,-9999,9
82,5538,20170301,-9999,9
82,5538,20170401,-9999,9
82,5538,20170501,-9999,9
82,5538,20170601,-9999,9
82,5538,20170701,-9999,9
82,5538,20170801,-9999,9
82,5538,20170901,-9999,9
82,5538,20171001,-9999,9
83,5539,20170101,-9999,9
83,5539,20170201,-9999,9
83,5539,20170301,-9999,9
83,5539,20170401,-9999,9
83,5539,20170501,-9999,9
83,5539,20170601,-9999,9
83,5539,20170701,-9999,9
83,5539,20170801,-9999,9
83,5539,20170901,-9999,9
83,5539,20171001,-9999,9
84,5540,20170101,-9999,9
84,5540,20170201,-9999,9
84,5540,20170301,-9999,9
84,5540,20170401,-9999,9
84,5540,20170501,-9999,9
84,5540,20170601,-9999,9
84,5540,20170701,-9999,9
84,5540,20170801,-9999,9
84,5540,20170901,-9999,9
84,5540,20171001,-9999,9
85,5541,20170101,-9999,9
85,5541,20170201,-9999,9
85,5541,20170301,-9999,9
85,5541,20170401,-9999,9
85,5541,20170501,-9999,9
85,5541,20170601,-9999,9
85,5541,20170701,-9999,9
85,5541,20170801,-9999,9
85,5541,20170901,-9999,9
85,5541,20171001,-9999,9
86,5542,20170101,-9999,9
86,5542,20170201,-9999,9
86,5542,20170301,-9999,9
86,5542,20170401,-9999,9
86,5542,20170501,-9999,9
86,5542,20170601,-9999,9
86,5542,20170701,-9999,9
86,5542,20170801,-9999,9
86,5542,20170901,-9999,9
86,5542,20171001,-9999,9
87,5543,20170101,-9999,9
87,5543,20170201,-9999,9
87,5543,20170301,-9999,9
87,5543,20170401,-9999,9
87,5543,20170501,-9999,9
87,5543,20170601,-9999,9
87,5543,20170701,-9999,9
87,5543,20170801,-9999,9
87,5543,20170901,-9999,9
87,5543,20171001,-9999,9
88,5544,20170101,-9999,9
88,5544,20170201,-9999,9
88,5544,20170301,-9999,9
88,5544,20170401,-9999,9
88,5544,20170501,-9999,9
88,5544,20170601,-9999,9
88,5544,20170701,-9999,9
88,5544,20170801,-9999,9
88,5544,20170901,-9999,9
88,5544,20171001,-9999,9
89,5545,20170101,-9999,9
89,5545,20170201,-9999,9
89,5545,20170301,-9999,9
89,5545,20170401,-9999,9
89,5545,20170501,-9999,9
89,5545,20170601,-9999,9
89,5545,20170701,-9999,9
89,5545,20170801,-9999,9
89,5545,20170901,-9999,9
89,5545,20171001,-9999,9
90,5546,20170101,-9999,9
90,5546,20170201,-9999,9
90,5546,20170301,-9999,9
90,5546,20170401,-9999,9
90,5546,20170501,-9999,9
90,5546,20170601,-9999,9
90,5546,20170701,-9999,9
90,5546,20170801,-9999,9
90,5546,20170901,-9999,9
90,5546,20171001,-9999,9
91,5547,20170101,-9999,9
91,5547,20170201,-9999,9
91,5547,20170301,-9999,9
91,5547,20170401,-9999,9
91,5547,20170501,-9999,9
91,5547,20170601,-9999,9
91,5547,20170701,-9999,9
91,5547,20170801,-9999,9
91,5547,20170901,-9999,9
91,5547,20171001,-9999,9
92,5548,20170101,-9999,9
92,5548,20170201,-9999,9
92,5548,20170301,-9999,9
92,5548,20170401,-9999,9
92,5548,20170501,-9999,9
92,5548,20170601,-9999,9
92,5548,20170701,-9999,9
92,5548,20170801,-9999,9
92,5548,20170901,-9999,9
92,5548,20171001,-9999,9
93,5549,20170101,-9999,9
93,5549,20170201,-9999,9
93,5549,20170301,-9999,9
93,5549,20170401,-9999,9
93,5549,20170501,-9999,9
93,5549,20170601,-9999,9
93,5549,20170701,-9999,9
93,5549,20170801,-9999,9
93,5549,20170901,-9999,9
93,5549,20171001,-9999,9
94,5550,20170101,-9999,9
94,5550,20170201,-9999,9
94,5550,20170301,-9999,9
94,5550,20170401,-9999,9
94,5550,20170501,-9999,9
94,5550,20170601,-9999,9
94,5550,20170701,-9999,9
94,5550,20170801,-9999,9
94,5550,20170901,-9999,9
94,5550,20171001,-9999,9
95,5551,20170101,-9999,9
95,5551,20170201,-9999,9
95,5551,20170301,-9999,9
95,5551,20170401,-9999,9
95,5551,20170501,-9999,9
95,5551,20170601,-9999,9
95,5551,20170701,-9999,9
95,5551,20170801,-9999,9
95,5551,20170901,-9999,9
95,5551,20171001,-9999,9
96,5552,20170101,-9999,9
96,5552,20170201,-9999,9
96,5552,20170301,-9999,9
96,5552,20170401,-9999,9
96,5552,20170501,-9999,9
96,5552,20170601,-9999,9
96,5552,20170701,-9999,9
96,5552,20170801,-9999,9
96,5552,20170901,-9999,9
96,5552,20171001,-9999,9
97,5553,20170101,-9999,9
97,5553,20170201,-9999,9
97,5553,20170301,-9999,9
97,5553,20170401,-9999,9
97,5553,20170501,-9999,9
97,5553,20170601,-9999,9
97,5553,20170701,-9999,9
97,5553,20170801,-9999,9
97,5553,20170901,-9999,9
97,5553,20171001,-9999,9
98,5554,20170101,-9999,9
98,5554,20170201,-9999,9
98,5554,20170301,-9999,9
98,5554,20170401,-9999,9
98,5554,20170501,-9999,9
98,5554,20170601,-9999,9
98,5554,20170701,-9999,9
98,5554,20170801,-9999,9
98,5554,20170901,-9999,9
98,5554,20171001,-9999,9
99,5555,20170101,-9999,9
99,5555,20170201,-9999,9
99,5555,20170301,-9999,9
99,5555,20170401,-9999,9
99,5555,20170501,-9999,9
99,5555,20170601,-9999,9
99,5555,20170701,-9999,9
99,5555,20170801,-9999,9
99,5555,20170901,-9999,9
99,5555,20171001,-9999,9
100,5556,20170101,-9999,9
100,5556,20170201,-9999,9
100,5556,20170301,-9999,9
100,5556,20170401,-9999,9
100,5556,20170501,-9999,9
100,5556,20170601,-9999,9
100,5556,20170701,-9999,9
100,5556,20170801,-9999,9
100,5556,20170901,-9999,9
100,5556,20171001,-9999,9
101,5557,20170101,-9999,9
101,5557,20170201,-9999,9
101,5557,20170301,-9999,9
101,5557,20170401,-9999,9
101,5557,20170501,-9999,9
101,5557,20170601,-9999,9
101,5557,20170701,-9999,9
101,5557,20170801,-9999,9
101,5557,20170901,-9999,9
101,5557,20171001,-9999,9
102,5558,20170101,-9999,9
102,5558,20170201,-9999,9
102,5558,20170301,-9999,9
102,5558,20170401,-9999,9
102,5558,20170501,-9999,9
102,5558,20170601,-9999,9
102,5558,20170701,-9999,9
102,5558,20170801,-9999,9
102,5558,20170901,-9999,9
102,5558,20171001,-9999,9
103,5559,20170101,-9999,9
103,5559,20170201,-9999,9
103,5559,20170301,-9999,9
103,5559,20170401,-9999,9
103,5559,20170501,-9999,9
103,5559,20170601,-9999,9
103,5559,20170701,-9999,9
103,5559,20170801,-9999,9
103,5559,20170901,-9999,9
103,5559,20171001,-9999,9
104,5560,20170101,-9999,9
104,5560,20170201,-9999,9
104,5560,20170301,-9999,9
104,5560,20170401,-9999,9
104,5560,20170501,-9999,9
104,5560,20170601,-9999,9
104,5560,20170701,-9999,9
104,5560,20170801,-9999,9
104,5560,20170901,-9999,9
104,5560,20171001,-9999,9
105,5561,20170101,-9999,9
105,5561,20170201,-9999,9
105,5561,20170301,-9999,9
105,5561,20170401,-9999,9
105,5561,20170501,-9999,9
105,5561,20170601,-9999,9
105,5561,20170701,-9999,9
105,5561,20170801,-9999,9
105,5561,20170901,-9999,9
105,5561,20171001,-9999,9
160,1888,20170101,92,0
160,1888,20170201,87,0
160,1888,20170301,88,0
160,1888,20170401,88,0
160,1888,20170501,82,0
160,1888,20170601,66,0
160,1888,20170701,85,0
160,1888,20170801,77,0
160,1888,20170901,75,0
160,1888,20171001,83,0
161,1888,20170101,92,0
161,1888,20170201,87,0
161,1888,20170301,88,0
161,1888,20170401,88,0
161,1888,20170501,82,0
161,1888,20170601,66,0
161,1888,20170701,85,0
161,1888,20170801,77,0
161,1888,20170901,75,0
161,1888,20171001,83,0
162,2004,20170101,97,0
162,2004,20170201,87,0
162,2004,20170301,85,0
162,2004,20170401,87,0
162,2004,20170501,70,0
162,2004,20170601,61,0
162,2004,20170701,87,0
162,2004,20170801,76,0
162,2004,20170901,81,0
162,2004,20171001,80,0
163,2423,20170101,97,0
163,2423,20170201,87,0
163,2423,20170301,85,0
163,2423,20170401,88,0
163,2423,20170501,71,0
163,2423,20170601,69,0
163,2423,20170701,89,0
163,2423,20170801,80,0
