"STAID","SOUID","DATE","SD","Q_SD"
146,1885,20170501,24,0
146,1885,20170601,0,0
146,1885,20170701,7,0
146,1885,20170801,0,0
146,1885,20170901,72,0
146,1885,20171001,10,0
147,1901,20170101,23,0
147,1901,20170201,12,0
147,1901,20170301,71,0
147,1901,20170401,76,0
147,1901,20170501,0,0
147,1901,20170601,0,0
147,1901,20170701,20,0
147,1901,20170801,0,0
147,1901,20170901,0,0
147,1901,20171001,27,0
148,2532,20170101,28,0
148,2532,20170201,14,0
148,2532,20170301,112,0
148,2532,20170401,57,0
148,2532,20170501,2,0
148,2532,20170601,0,0
148,2532,20170701,8,0
148,2532,20170801,0,0
148,2532,20170901,0,0
148,2532,20171001,20,0
149,1919,20170101,6,0
149,1919,20170201,10,0
149,1919,20170301,88,0
149,1919,20170401,0,0
149,1919,20170501,24,0
149,1919,20170601,0,0
149,1919,20170701,2,0
149,1919,20170801,0,0
149,1919,20170901,0,0
149,1919,20171001,5,0
150,2528,20170101,28,0
150,2528,20170201,9,0
150,2528,20170301,76,0
150,2528,20170401,6,0
150,2528,20170501,69,0
150,2528,20170601,0,0
150,2528,20170701,6,0
150,2528,20170801,3,0
150,2528,20170901,0,0
150,2528,20171001,6,0
151,2529,20170101,12,0
151,2529,20170201,11,0
151,2529,20170301,97,0
151,2529,20170401,2,0
151,2529,20170501,0,0
151,2529,20170601,0,0
151,2529,20170701,2,0
151,2529,20170801,0,0
151,2529,20170901,93,0
151,2529,20171001,5,0
152,2001,20170101,25,0
152,2001,20170201,14,0
152,2001,20170301,112,0
152,2001,20170401,1,0
152,2001,20170501,7,0
152,2001,20170601,0,0
152,2001,20170701,28,0
152,2001,20170801,0,0
152,2001,20170901,5,0
152,2001,20171001,6,0
153,2019,20170101,58,0
153,2019,20170201,3,0
153,2019,20170301,55,0
153,2019,20170401,28,0
153,2019,20170501,63,0
153,2019,20170601,0,0
153,2019,20170701,9,0
153,2019,20170801,3,0
153,2019,20170901,26,0
153,2019,20171001,7,0
154,2530,20170101,58,0
154,2530,20170201,19,0
154,2530,20170301,27,0
154,2530,20170401,0,0
154,2530,20170501,0,0
154,2530,20170601,0,0
154,2530,20170701,4,0
154,2530,20170801,0,0
154,2530,20170901,11,0
154,2530,20171001,2,0
155,1900,20170101,64,0
155,1900,20170201,22,0
155,1900,20170301,12,0
155,1900,20170401,0,0
155,1900,20170501,0,0
155,1900,20170601,0,0
155,1900,20170701,4,0
155,1900,20170801,0,0
155,1900,20170901,1,0
155,1900,20171001,0,0
156,9313,20170101,42,0
156,9313,20170201,24,0
156,9313,20170301,10,0
156,9313,20170401,0,0
156,9313,20170501,0,0
156,9313,20170601,0,0
156,9313,20170701,35,0
156,9313,20170801,0,0
156,9313,20170901,0,0
156,9313,20171001,0,0
157,2531,20170101,43,0
157,2531,20170201,16,0
157,2531,20170301,33,0
157,2531,20170401,3,0
157,2531,20170501,0,0
157,2531,20170601,0,0
157,2531,20170701,0,0
157,2531,20170801,0,0
157,2531,20170901,38,0
157,2531,20171001,3,0
158,11392,20170101,53,0
158,11392,20170201,6,0
158,11392,20170301,43,0
158,11392,20170401,10,0
158,11392,20170501,1,0
158,11392,20170601,0,0
158,11392,20170701,26,0
158,11392,20170801,16,0
158,11392,20170901,0,0
158,11392,20171001,8,0
174,916320,20170101,0,0
174,916320,20170201,0,0
174,916320,20170301,0,0
174,916320,20170401,0,0
174,916320,20170501,0,0
174,916320,20170601,0,0
174,916320,20170701,0,0
174,916320,20170801,0,0
174,916320,20170901,0,0
174,916320,20171001,0,0
175,5259,20170101,-9999,9
175,5259,20170201,-9999,9
175,5259,20170301,-9999,9
175,5259,20170401,-9999,9
175,5259,20170501,-9999,9
175,5259,20170601,-9999,9
175,5259,20170701,-9999,9
175,5259,20170801,-9999,9
175,5259,20170901,-9999,9
175,5259,20171001,-9999,9
176,5264,20170101,-9999,9
176,5264,20170201,-9999,9
176,5264,20170301,-9999,9
176,5264,20170401,-9999,9
176,5264,20170501,-9999,9
176,5264,20170601,-9999,9
176,5264,20170701,-9999,9
176,5264,20170801,-9999,9
176,5264,20170901,-9999,9
176,5264,20171001,-9999,9
177,5269,20170101,-9999,9
177,5269,20170201,-9999,9
177,5269,20170301,-9999,9
177,5269,20170401,-9999,9
177,5269,20170501,-9999,9
177,5269,20170601,-9999,9
177,5269,20170701,-9999,9
177,5269,20170801,-9999,9
177,5269,20170901,-9999,9
177,5269,20171001,-9999,9
178,11076,20170101,-9999,9
178,11076,20170201,-9999,9
178,11076,20170301,-9999,9
178,11076,20170401,-9999,9
178,11076,20170501,-9999,9
178,11076,20170601,-9999,9
178,11076,20170701,-9999,9
178,11076,20170801,-9999,9
178,11076,20170901,-9999,9
178,11076,20171001,-9999,9
179,10199,20170101,0,0
179,10199,20170201,0,0
179,10199,20170301,0,0
179,10199,20170401,0,0
179,10199,20170501,0,0
179,10199,20170601,0,0
179,10199,20170701,0,0
179,10199,20170801,0,0
179,10199,20170901,0,0
179,10199,20171001,0,0
180,9596,20170101,-9999,9
180,9596,20170201,-9999,9
180,9596,20170301,-9999,9
180,9596,20170401,-9999,9
180,9596,20170501,-9999,9
180,9596,20170601,-9999,9
180,9596,20170701,-9999,9
180,9596,20170801,-9999,9
180,9596,20170901,-9999,9
180,9596,20171001,-9999,9
181,10456,20170101,0,0
181,10456,20170201,2,0
181,10456,20170301,3,0
181,10456,20170401,0,0
181,10456,20170501,0,0
181,10456,20170601,0,0
181,10456,20170701,0,0
181,10456,20170801,0,0
181,10456,20170901,0,0
181,10456,20171001,0,0
183,9693,20170101,3,0
183,9693,20170201,10,0
183,9693,20170301,20,0
183,9693,20170401,6,0
183,9693,20170501,0,0
183,9693,20170601,0,0
183,9693,20170701,0,0
183,9693,20170801,0,0
183,9693,20170901,0,0
183,9693,20171001,0,0
184,9523,20170101,-9999,9
184,9523,20170201,-9999,9
184,9523,20170301,-9999,9
184,9523,20170401,-9999,9
184,9523,20170501,-9999,9
184,9523,20170601,0,0
184,9523,20170701,0,0
184,9523,20170801,0,0
