"STAID","SOUID","DATE","RR","Q_RR"
1359,3103,20171001,-9999,9
1360,3106,20170101,-9999,9
1360,3106,20170201,-9999,9
1360,3106,20170301,-9999,9
1360,3106,20170401,-9999,9
1360,3106,20170501,-9999,9
1360,3106,20170601,-9999,9
1360,3106,20170701,-9999,9
1360,3106,20170801,-9999,9
1360,3106,20170901,-9999,9
1360,3106,20171001,-9999,9
1361,3107,20170101,-9999,9
1361,3107,20170201,-9999,9
1361,3107,20170301,-9999,9
1361,3107,20170401,-9999,9
1361,3107,20170501,-9999,9
1361,3107,20170601,-9999,9
1361,3107,20170701,-9999,9
1361,3107,20170801,-9999,9
1361,3107,20170901,-9999,9
1361,3107,20171001,-9999,9
1362,3110,20170101,-9999,9
1362,3110,20170201,-9999,9
1362,3110,20170301,-9999,9
1362,3110,20170401,-9999,9
1362,3110,20170501,-9999,9
1362,3110,20170601,-9999,9
1362,3110,20170701,-9999,9
1362,3110,20170801,-9999,9
1362,3110,20170901,-9999,9
1362,3110,20171001,-9999,9
1363,52290,20170101,-9999,9
1363,52290,20170201,-9999,9
1363,52290,20170301,-9999,9
1363,52290,20170401,-9999,9
1363,52290,20170501,-9999,9
1363,52290,20170601,-9999,9
1363,52290,20170701,-9999,9
1363,52290,20170801,-9999,9
1363,52290,20170901,-9999,9
1363,52290,20171001,-9999,9
1364,3114,20170101,-9999,9
1364,3114,20170201,-9999,9
1364,3114,20170301,-9999,9
1364,3114,20170401,-9999,9
1364,3114,20170501,-9999,9
1364,3114,20170601,-9999,9
1364,3114,20170701,-9999,9
1364,3114,20170801,-9999,9
1364,3114,20170901,-9999,9
1364,3114,20171001,-9999,9
1365,3117,20170101,-9999,9
1365,3117,20170201,-9999,9
1365,3117,20170301,-9999,9
1365,3117,20170401,-9999,9
1365,3117,20170501,-9999,9
1365,3117,20170601,-9999,9
1365,3117,20170701,-9999,9
1365,3117,20170801,-9999,9
1365,3117,20170901,-9999,9
1365,3117,20171001,-9999,9
1366,3120,20170101,-9999,9
1366,3120,20170201,-9999,9
1366,3120,20170301,-9999,9
