"STAID","SOUID","DATE","DD","Q_DD"
3967,20562,20170901,30,0
3967,20562,20171001,120,0
3968,20571,20170101,-9999,9
3968,20571,20170201,-9999,9
3968,20571,20170301,-9999,9
3968,20571,20170401,-9999,9
3968,20571,20170501,-9999,9
3968,20571,20170601,-9999,9
3968,20571,20170701,-9999,9
3968,20571,20170801,-9999,9
3968,20571,20170901,-9999,9
3968,20571,20171001,-9999,9
3969,20580,20170101,240,0
3969,20580,20170201,280,0
3969,20580,20170301,250,0
3969,20580,20170401,270,0
3969,20580,20170501,220,0
3969,20580,20170601,110,0
3969,20580,20170701,100,0
3969,20580,20170801,40,0
3969,20580,20170901,70,0
3969,20580,20171001,80,0
3970,20598,20170101,160,0
3970,20598,20170201,240,0
3970,20598,20170301,240,0
3970,20598,20170401,280,0
3970,20598,20170501,250,0
3970,20598,20170601,40,0
3970,20598,20170701,340,0
3970,20598,20170801,270,0
3970,20598,20170901,50,0
3970,20598,20171001,10,0
3971,20625,20170101,100,0
3971,20625,20170201,250,0
3971,20625,20170301,180,0
3971,20625,20170401,240,0
3971,20625,20170501,250,0
3971,20625,20170601,300,0
3971,20625,20170701,10,0
3971,20625,20170801,30,0
3971,20625,20170901,40,0
3971,20625,20171001,270,0
4992,33010,20170101,270,0
4992,33010,20170201,0,0
4992,33010,20170301,0,0
4992,33010,20170401,270,0
4992,33010,20170501,90,0
4992,33010,20170601,260,0
4992,33010,20170701,200,0
4992,33010,20170801,180,0
4992,33010,20170901,240,0
4992,33010,20171001,230,0
4993,33022,20170101,322,0
4993,33022,20170201,126,0
4993,33022,20170301,216,0
4993,33022,20170401,176,0
4993,33022,20170501,88,0
4993,33022,20170601,191,0
4993,33022,20170701,191,0
4993,33022,20170801,202,0
4993,33022,20170901,236,0
4993,33022,20171001,203,0
4997,901442,20170101,20,0
4997,901442,20170201,180,0
4997,901442,20170301,260,0
4997,901442,20170401,160,0
4997,901442,20170501,230,0
4997,901442,20170601,340,0
4997,901442,20170701,180,0
4997,901442,20170801,150,0
4997,901442,20170901,290,0
4997,901442,20171001,150,0
4998,901442,20170101,20,0
4998,901442,20170201,180,0
4998,901442,20170301,260,0
4998,901442,20170401,160,0
4998,901442,20170501,230,0
4998,901442,20170601,340,0
4998,901442,20170701,180,0
4998,901442,20170801,150,0
4998,901442,20170901,290,0
4998,901442,20171001,150,0
5000,33106,20170101,-9999,9
5000,33106,20170201,-9999,9
5000,33106,20170301,-9999,9
5000,33106,20170401,-9999,9
5000,33106,20170501,-9999,9
5000,33106,20170601,-9999,9
5000,33106,20170701,-9999,9
5000,33106,20170801,-9999,9
5000,33106,20170901,-9999,9
5000,33106,20171001,-9999,9
5001,33118,20170101,11,0
5001,33118,20170201,195,0
5001,33118,20170301,116,0
5001,33118,20170401,342,0
5001,33118,20170501,199,0
5001,33118,20170601,47,0
5001,33118,20170701,300,0
5001,33118,20170801,137,0
5001,33118,20170901,310,0
5001,33118,20171001,154,0
5002,33130,20170101,65,0
5002,33130,20170201,125,0
5002,33130,20170301,73,0
5002,33130,20170401,83,0
5002,33130,20170501,223,0
5002,33130,20170601,42,0
5002,33130,20170701,86,0
5002,33130,20170801,197,0
5002,33130,20170901,347,0
5002,33130,20171001,255,0
5003,33142,20170101,-9999,9
5003,33142,20170201,186,0
